
Name	Description	Flags
cl_phys_record_rays	Dump physics main world to file	developmentonly clientdll
cl_phys_record_rays_and_world	Dump traces physics main world to file	developmentonly clientdll
cl_phys_sleep	Put all physics in all the worlds to sleep	developmentonly clientdll
cl_phys_wakeup	Wake all physics objects in the Main physics up	developmentonly clientdll
cl_physics_add_test	add test object	developmentonly clientdll
cl_physics_highlight_active	Turns on the absbox for all active physics objects. 0 : un-highlight.	developmentonly clientdll
cl_physics_remove_test	remove test object	developmentonly clientdll
cl_physics_report_active	Lists all active physics objects -more : extra info	developmentonly clientdll
cl_precacheinfo	Show precache info (client).	developmentonly defensive
cl_pred_track	<entindex> <fieldname>: Track changes to entity index entindex, for field fieldname.	developmentonly clientdll defensive
cl_pred_track_off	clear field track changes.	developmentonly clientdll defensive
cl_predictioncopy_describe	Describe datamap_t for entindex	developmentonly clientdll defensive
cl_predictioncopy_print	Print simple description of prediction copy fields for entindex	developmentonly clientdll defensive
cl_printfps	Print information from cl_showfps.	developmentonly clientdll defensive
cl_prop_debug	Toggle prop debug mode. If on, props will show colorcoded bounding boxes. Red means ignore all damage. White means respond physically to damage but never break. Green maps health in the range of 100 down to 1.	clientdll cheat
cl_querycache_stats	Display status of the query cache (client only)	clientdll cheat
cl_reload_hud	Reloads the hud scale and resets scale and borders	developmentonly clientdll defensive
cl_removedecals	Remove the decals from the entity under the crosshair.	clientdll cheat
cl_report_entities	Lists all entities	developmentonly clientdll cheat
cl_report_predcopy_overrides	Report prediction copy overrides	developmentonly clientdll defensive
cl_report_simthinklist	Lists all simulating/thinking entities	developmentonly clientdll
cl_report_soundpatch	reports client-side sound patch count	developmentonly clientdll defensive
cl_resetfps	Reset information from cl_showfps.	developmentonly clientdll defensive
cl_rr_reloadresponsesystems	Reload all response system scripts.	clientdll cheat
cl_save_animgraph_recording	Saves all active animgraph recordings to disk	clientdll cheat
cl_script_add_debug_filter	Add a filter to the game debug overlay	clientdll cheat
cl_script_add_watch	Add a watch to the game debug overlay	clientdll cheat
cl_script_add_watch_pattern	Add a watch to the game debug overlay	clientdll cheat
cl_script_attach_debugger	Connect the vscript VM to the script debugger	clientdll cheat
cl_script_clear_watches	Clear all watches from the game debug overlay	clientdll cheat
cl_script_debug	Toggle the in-game script debug features	clientdll cheat
cl_script_dump_all	Dump the state of the VM to the console	clientdll cheat
cl_script_find	Find a key in the VM	clientdll cheat
cl_script_help	Output help for script functions	clientdll cheat
cl_script_help2	Output help for script functions suitable for auto-completion	developmentonly clientdll defensive
cl_script_reload	Reload scripts	clientdll cheat
cl_script_reload_code	Execute a vscript file, replacing existing functions with the functions in the run script	clientdll cheat
cl_script_reload_entity_code	Execute all of this entity's VScripts, replacing existing functions with the functions in the run scripts	clientdll cheat
cl_script_remove_debug_filter	Remove a filter from the game debug overlay	clientdll cheat
cl_script_remove_watch	Remove a watch from the game debug overlay	clientdll cheat
cl_script_remove_watch_pattern	Remove a watch from the game debug overlay	clientdll cheat
cl_script_resurrect_unreachable	Use the garbage collector to track down reference cycles	clientdll cheat
cl_script_trace_disable	Turn off a particular trace output by file or function name	clientdll cheat
cl_script_trace_disable_all	Turn off all trace output	clientdll cheat
cl_script_trace_disable_key	Turn off a particular trace output by table/instance	clientdll cheat
cl_script_trace_enable	Turn on a particular trace output by file or function name	clientdll cheat
cl_script_trace_enable_all	Turn on all trace output	clientdll cheat
cl_script_trace_enable_key	Turn on a particular trace output by table/instance	clientdll cheat
cl_showents	Dump entity list to console.	clientdll cheat
cl_sim_grenade_trajectory	Draw trajectory of the deployed grenade if thrown from this position. Takes an optional parameter for how long the drawn trajectory will last.	clientdll cheat
cl_sos_test_get_opvar		clientdll cheat
cl_sos_test_set_opvar		clientdll cheat
cl_soundscape_flush	Flushes the client side soundscapes	clientdll cheat server_can_execute
cl_soundscape_printdebuginfo	print soundscapes	developmentonly clientdll defensive
cl_spewserializers	Spew serializers	cheat
cl_spewworldgroups	Spew world groups (client)	developmentonly
cl_ss_origin	print origin in script format	developmentonly clientdll defensive
cl_steamscreenshots	Enable/disable saving screenshots to Steam	developmentonly clientdll defensive
cl_test_list_entities	test-list entities	clientdll cheat
cl_ticktiming	{print|<interval>} [summary|detail] Print timing stats now, or set report interval	dontrecord release
cl_tree_sway_dir	sets tree sway wind direction and strength	developmentonly clientdll defensive
cl_updatevisibility	Updates visibility bits.	developmentonly clientdll defensive
clear	Clear console output.	dontrecord release
clear_bombs		gamedll cheat
clearall	Clear console output from all views.	dontrecord release
cli_ent_attachments	Displays the interpolated attachment points on an entity. Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cli_ent_hitbox	Displays the skeleton for the given entity(ies). Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cli_ent_pivot	Displays the interpolated pivot for the given entity(ies). (y=up=green, z=forward=blue, x=left=red). Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cli_ent_skeleton	Displays the skeleton for the given entity(ies). Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
cli_ent_vcollide_wireframe	Displays the interpolated vcollide wireframe pm am entity. Arguments: {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at}	clientdll cheat
clutch_mode_toggle	Toggle clutch mode convar	clientdll release
cmd	Forward command to server.	developmentonly defensive
collect_entity_model_name	Collect model names of the entities you're pointing at	gamedll cheat
commandtool_exec	Runs a command from the command tool	developmentonly gamedll defensive
commentary_cvarsnotchanging		developmentonly gamedll defensive
commentary_finishnode		gamedll client_can_execute
condump	dump the text currently in the console to condumpXX.log	release
confirm_abandon_match	Confirm that we wish to abandon match	clientdll hidden clientcmd_can_execute
confirm_activate_itemid_now	Confirm item activation by item id	clientdll hidden clientcmd_can_execute
confirm_join_friend_session_exit_current	Confirm that we wish to join a friend session, destroying a previous session	clientdll hidden clientcmd_can_execute
confirm_join_new_session_exit_current	Confirm that we wish to join a new session, destroying a previous session	clientdll hidden clientcmd_can_execute
confirm_join_party_session_exit_current	Confirm that we wish to join a party session, destroying a previous session	clientdll hidden clientcmd_can_execute
confirm_watch_friend_session_exit_current	Confirm that we wish to watch a friend session, destroying a previous session	clientdll hidden clientcmd_can_execute
connect	Connect to a remote server.	release
connect_hltv	Connect to a remote HLTV server.	release
console_test	Output text to test console	developmentonly
consoletool	Open a VConsole subtool.	dontrecord release
convert_steamid	Convert SteamID into multiple formats	developmentonly clientdll defensive
cpuinfo	Print CPU configuration information	developmentonly defensive
crash	Crash the client. Optional parameter -- type of crash: 0: read from NULL 1: write to NULL 2: force an Assert 3: infinite loop 4: stack buffer overrun 5: multiple asserts across multiple threads	cheat
crash_error	Cause the engine to crash by Plat_FatalError on main thread (Debug!!)	cheat
crash_error_job	Cause the engine to crash by Plat_FatalError on job thread (Debug!!)	cheat
crash_error_thread	Cause the engine to crash by Plat_FatalError on non-main thread (Debug!!)	cheat
crash_job	Cause the engine to crash in a job thread (Debug!!)	cheat
crash_thread	Cause the engine to crash in a brand new non-main thread (Debug!!)	cheat
create_flashlight		gamedll cheat
create_radius_damage	Causes radius damage where you're looking, at the passed in radius.	gamedll cheat
CreatePredictionError	Create a prediction error	gamedll cheat
creditsdone		developmentonly gamedll defensive
cs_quit_prompt	Quit the game	clientdll release
csgo_download_match	Downloads a match via serial code and starts playback	clientdll dontrecord clientcmd_can_execute
csgo_econ_action_preview	Preview an economy item	clientdll hidden dontrecord clientcmd_can_execute
csgo_watch_friend_session_exit_current		clientdll hidden clientcmd_can_execute
cvarlist	Show the list of convars/concommands.	release
cyclevar	Cycle through specified convar values.	dontrecord release
dbghist_addline	Add a line to the debug history. Format: <category id> <line>	developmentonly gamedll defensive
dbghist_dump	Dump the debug history to the console. Format: <category id> Categories: 0: Entity I/O 1: AI Decisions 2: Scene Print 3: Alyx Blind 4: Log of damage done to player 5: Player Teleport 6: Blind Zombie Sounds 7: Player Continuous	developmentonly gamedll defensive
debug_purchase_defidx	Purchase an item by defindex	clientdll release clientcmd_can_execute
debugoverlay_cycle_domain	Toggles visibility of the debug overlay system.	gamedll cheat
debugoverlay_cycle_state	Toggles visibility of the debug overlay system.	gamedll cheat
debugoverlay_dashboard	Makes the debug overlay dashboard visible.	gamedll cheat
debugoverlay_hide_imgui	Hides the overlay.	gamedll cheat
debugoverlay_toggle	Toggles visibility of the debug overlay system.	gamedll cheat
demo_goto	Skips to location in demo.	release
demo_gotomark	Skips the current demo playback to the marked tick	release
demo_gototick	Skips to a tick in demo.	release
demo_info	Print information about currently playing demo.	release
demo_marktick	Marks the current demo playback tick for later use	release
demo_pause	Pauses demo playback.	release
demo_resume	Resumes demo playback.	release
demo_timescale	Sets demo replay speed.	release
demo_togglepause	Toggles demo playback.	release
demo_writemetafile	save current meta file demo_<version>.meta file for use in demo upconversion.	developmentonly dontrecord defensive
demolist	Print demo sequence list.	release
demoui	Show/hide demo playback ui	clientdll release
destructible_parts_force_destroy	Force a destructible part to break	developmentonly gamedll defensive
dev_send_gc_message	<msgid> Send a blank body message with a given ID to gc for routing tests	developmentonly clientdll defensive
dev_send_gc_message_server	<msgid> Send a blank body message with a given ID to gc for routing tests	developmentonly gamedll defensive
dev_simulate_gcdown	<state> Turn on/off simulated GC communications failure (GC is down in a way that we know it is down)	developmentonly clientdll defensive
differences	Show all convars which are not at their default values (optional restricted to specific flags).	release
disable_priority_boost	Disable focus based priority boost	developmentonly defensive
disconnect	Disconnect from server	release
dlight_debug	Creates a dlight in front of the player	clientdll cheat
dm_reset_spawns		developmentonly gamedll defensive
dm_togglerandomweapons	Turns random weapons in deathmatch on/off	clientdll server_can_execute clientcmd_can_execute
drawcross	Draws a cross at the given location Arguments: x y z	gamedll cheat
drawline	Draws line between two 3D Points. Green if no collision Red is collides with something Arguments: x1 y1 z1 x2 y2 z2	gamedll cheat
drawoverviewmap	Draws the overview map	developmentonly clientdll defensive
drawradar	Draws HUD radar	developmentonly clientdll defensive
drop_hostage	drop held hostage	developmentonly gamedll cheat
ds_workshop_changelevel	Changelevel to an available workshop map by name	gamedll release
ds_workshop_listmaps	Dump workshop maps available on this server	gamedll release
dump_entity_report	List all client-side entities in the scene	clientdll cheat
dump_globals	Dump all global entities/states	developmentonly gamedll defensive
dump_loc_token	List information on the given token	developmentonly defensive
dump_localization_files	List all loaded localization files	developmentonly defensive
dump_panorama_css_properties	Prints out all valid panorama CSS properties and their documentation	release
dump_panorama_events	print panorama event types and their documentation	release
dump_panorama_render_command_stats		developmentonly defensive
dump_response_symbols	print all response symbols to the console	developmentonly gamedll defensive
dump_secondary_scene_worlds	Lists secondary scene worlds and ref counts	developmentonly clientdll defensive
