
Name	Description	Flags
ammo_45acp_max 100		gamedll clientdll replicated release
ammo_50AE_headshot_mult 1.000000	You must enable tweaking via tweak_ammo_impulses to use this value.	developmentonly gamedll clientdll replicated defensive
ammo_50AE_impulse 2400.000000	You must enable tweaking via tweak_ammo_impulses to use this value.	developmentonly gamedll clientdll replicated defensive
ammo_50AE_max 35		gamedll clientdll replicated release
ammo_556mm_box_headshot_mult 1.000000	You must enable tweaking via tweak_ammo_impulses to use this value.	developmentonly gamedll clientdll replicated defensive
ammo_556mm_box_impulse 2400.000000	You must enable tweaking via tweak_ammo_impulses to use this value.	developmentonly gamedll clientdll replicated defensive
ammo_556mm_box_max 200		gamedll clientdll replicated release
ammo_556mm_headshot_mult 1.000000	You must enable tweaking via tweak_ammo_impulses to use this value.	developmentonly gamedll clientdll replicated defensive
ammo_556mm_impulse 2400.000000	You must enable tweaking via tweak_ammo_impulses to use this value.	developmentonly gamedll clientdll replicated defensive
ammo_556mm_max 90		gamedll clientdll replicated release
ammo_556mm_small_max 40		gamedll clientdll replicated release
ammo_57mm_headshot_mult 1.000000	You must enable tweaking via tweak_ammo_impulses to use this value.	developmentonly gamedll clientdll replicated defensive
ammo_57mm_impulse 2000.000000	You must enable tweaking via tweak_ammo_impulses to use this value.	developmentonly gamedll clientdll replicated defensive
ammo_57mm_max 100		gamedll clientdll replicated release
ammo_762mm_headshot_mult 1.000000	You must enable tweaking via tweak_ammo_impulses to use this value.	developmentonly gamedll clientdll replicated defensive
ammo_762mm_impulse 2400.000000	You must enable tweaking via tweak_ammo_impulses to use this value.	developmentonly gamedll clientdll replicated defensive
ammo_762mm_max 90		gamedll clientdll replicated release
ammo_9mm_headshot_mult 1.000000	You must enable tweaking via tweak_ammo_impulses to use this value.	developmentonly gamedll clientdll replicated defensive
ammo_9mm_impulse 2000.000000	You must enable tweaking via tweak_ammo_impulses to use this value.	developmentonly gamedll clientdll replicated defensive
ammo_9mm_max 120		gamedll clientdll replicated release
ammo_buckshot_headshot_mult 1.000000	You must enable tweaking via tweak_ammo_impulses to use this value.	developmentonly gamedll clientdll replicated defensive
ammo_buckshot_impulse 600.000000	You must enable tweaking via tweak_ammo_impulses to use this value.	developmentonly gamedll clientdll replicated defensive
ammo_buckshot_max 32		gamedll clientdll replicated release
ammo_grenade_limit_breachcharge 3		gamedll clientdll replicated release
ammo_grenade_limit_bumpmine 3		gamedll clientdll replicated release
ammo_grenade_limit_default 1		gamedll clientdll replicated release commandline_enforced
ammo_grenade_limit_flashbang 1		gamedll clientdll replicated release commandline_enforced
ammo_grenade_limit_snowballs 3		gamedll clientdll replicated release
ammo_grenade_limit_total 3		gamedll clientdll replicated release commandline_enforced
ammo_grenade_limit_tripwirefire 1		gamedll clientdll replicated release
ammo_item_limit_adrenaline 5		gamedll clientdll replicated release
ammo_item_limit_healthshot 4		gamedll clientdll replicated release commandline_enforced
anim_damped_move_speed_timewindow 0.200000		developmentonly gamedll clientdll replicated
anim_dampedaccel16_scale 0.850000		developmentonly gamedll clientdll replicated
anim_dampedaccel16_timewindow 0.250000		developmentonly gamedll clientdll replicated
anim_decode_forcewritealltransforms false	Force BatchAnimationDecode to write transformations for all bones	developmentonly
anim_disable false		developmentonly gamedll clientdll replicated defensive
anim_resource_validate_on_load true	Validates the animation group channel list against the animations on load for every animation	release
anim_scale_wasd_input_hip_dip 0.800000		developmentonly gamedll clientdll replicated
anim_scale_wasd_input_hip_swivel 0.800000		developmentonly gamedll clientdll replicated
animated_material_attributes true		clientdll cheat
animgraph_debug false	Debug animation graph	gamedll clientdll replicated cheat
animgraph_debug_animevents false	Print info about animevents emitted by AnimGraph	developmentonly gamedll clientdll replicated
animgraph_debug_entindex 0	The entity to specifically debug	gamedll clientdll replicated cheat
animgraph_debug_filterent 0	Filter setting for animgraph_debug_variables output. If set to -1, show debug for all entities. If set to 0, show debug for any NPCs that have been npc_selected. If set to >0, something other than 0, show debug for the entity with the matching entindex.	developmentonly gamedll clientdll replicated defensive
animgraph_debug_max_poseop_count false		reference
animgraph_debug_set_filter_params	Comma separated list of params to filter against when drawing debug text overlays	developmentonly gamedll clientdll replicated defensive
animgraph_debug_show_unreferenced_params false		developmentonly gamedll clientdll replicated defensive
animgraph_debug_tags false		developmentonly gamedll clientdll replicated defensive
animgraph_debug_variables false	Turn on to see animgraph variable changes for entities passing animgraph_debug_filterent.	developmentonly gamedll clientdll replicated defensive
animgraph_debug_variables_ignore_missing true	If set, animgraph_debug_variables won't show debug for warnings about sets to missing variables.	developmentonly gamedll clientdll replicated defensive
animgraph_debug_variables_ignore_nonchanges true	If set, animgraph_debug_variables won't show debug for variable sets that don't change the value.	developmentonly gamedll clientdll replicated defensive
animgraph_draw_traces false		developmentonly gamedll clientdll replicated defensive
animgraph_enable true	Enable animation graph	developmentonly gamedll clientdll replicated
animgraph_enable_dirty_netvar_optimization true		developmentonly defensive
animgraph_enable_parallel_op_evaluation false		developmentonly gamedll clientdll replicated defensive
animgraph_enable_parallel_update true		developmentonly gamedll clientdll replicated defensive
animgraph_footlock_auto_ledge_detection true	Attempt to detect when the foot is partially hanging off a ledge and stop it tilting to reach the bottom	developmentonly replicated defensive
animgraph_footlock_auto_stair_detection true	Attempt to detect when the foot is on a stair and will stop it from tilting to reach the next step	developmentonly replicated defensive
animgraph_footlock_calculate_tilt true		developmentonly replicated defensive
animgraph_footlock_debug_foot_index -1		developmentonly replicated defensive
animgraph_footlock_debug_type 2		developmentonly replicated defensive
animgraph_footlock_draw_footbase false		developmentonly defensive
animgraph_footlock_enabled true	A master convar that effectively disables the entire footlock node.	developmentonly replicated defensive
animgraph_footlock_ground_roll true		developmentonly defensive
animgraph_footlock_hip_offset_enable true		developmentonly defensive
animgraph_footlock_ik_enable true	Enable IK.	cheat
animgraph_footlock_tilt_mode 1		developmentonly defensive
animgraph_footlock_trace_ground_enabled true	Convar for toggling foot lock ground tracking.	developmentonly replicated defensive
animgraph_footlock_use_hip_shift true		developmentonly defensive
animgraph_force_full_network_updates false		developmentonly defensive
animgraph_force_tick_all_graphs false		developmentonly gamedll clientdll replicated defensive
animgraph_ik_debug false		developmentonly defensive
animgraph_motionmatching_print_compressionstats false		developmentonly replicated defensive
animgraph_network_enable true	Enable animation graph networking. The setting is only read at graph creation time; to use please set on the command line.	developmentonly gamedll clientdll replicated
animgraph_record_all false	Automatically start recording AnimGraphs when they get created, and save them to disk when they are destroyed	gamedll clientdll replicated cheat
animgraph_slope_draw_raycasts false		gamedll clientdll replicated cheat
animgraph_slope_enable true		gamedll clientdll replicated cheat
animgraph_slowdownonslopes_enabled true		developmentonly replicated defensive
animgraph_trace_ignore_prop_physics true		developmentonly gamedll clientdll replicated defensive
animgraph_trace_static_only false		gamedll clientdll replicated cheat
animgraph_verify_dirty_netvar_optimization false		developmentonly defensive
annotation_auto_load false		clientdll release commandline_enforced
async_serialize false	Force async reads to serialize for profiling	developmentonly defensive
attached_output_stall_ms 250.000000		developmentonly defensive
audio_input_test_signal false	For testing the audio input pathway with a sine tone instead of SDL3.	developmentonly
autosave_fully_async true	Set to 1 to have autosaves execute completely on the save thread, forces 'render only' mode while the save completes	developmentonly gamedll defensive
battery_saver false	OBSOLETE replaced by mobile_fps_* - Battery saver mode. 0=off, 1=on	archive
blink_duration 0.500000	How many seconds an eye blink will last.	developmentonly clientdll defensive
bot_allow_grenades true	If nonzero, bots may use grenades.	gamedll release
bot_allow_machine_guns true	If nonzero, bots may use the machine gun.	gamedll release
bot_allow_pistols true	If nonzero, bots may use pistols.	gamedll release
bot_allow_rifles true	If nonzero, bots may use rifles.	gamedll release
bot_allow_rogues true	If nonzero, bots may occasionally go 'rogue'. Rogue bots do not obey radio commands, nor pursue scenario goals.	gamedll release commandline_enforced
bot_allow_shotguns true	If nonzero, bots may use shotguns.	gamedll release
bot_allow_snipers true	If nonzero, bots may use sniper rifles.	gamedll release
bot_allow_sub_machine_guns true	If nonzero, bots may use sub-machine guns.	gamedll release
bot_auto_follow false	If nonzero, bots with high co-op may automatically follow a nearby human player.	gamedll release
bot_auto_vacate true	If nonzero, bots will automatically leave to make room for human players.	gamedll release
bot_autodifficulty_threshold_high 5.000000	Upper bound above Average Human Contribution Score that a bot must be above to change its difficulty
Min: -20.000000
Max: 20.000000	gamedll clientdll replicated release commandline_enforced
bot_autodifficulty_threshold_low -2.000000	Lower bound below Average Human Contribution Score that a bot must be below to change its difficulty
Min: -20.000000
Max: 20.000000	gamedll clientdll replicated release commandline_enforced
bot_chatter normal	Control how bots talk. Allowed values: 'off', 'radio', 'minimal', or 'normal'.	gamedll release commandline_enforced
bot_chatter_use_rr true	0 = Use old bot chatter system, 1 = Use response rules	developmentonly gamedll
bot_controllable true	Determines whether bots can be controlled by players	gamedll release
bot_coop_idle_max_vision_distance 1400.000000	Max distance bots can see targets (in coop) when they are idle, dormant, hiding or asleep.
Min: -1.000000	gamedll replicated release commandline_enforced
bot_crouch false		gamedll cheat
bot_debug 0	For internal testing purposes.	gamedll cheat
bot_debug_target 0	For internal testing purposes.	gamedll cheat
bot_defer_to_human_goals false	If nonzero and there is a human on the team, the bots will not do the scenario tasks.	gamedll release commandline_enforced
bot_defer_to_human_items true	If nonzero and there is a human on the team, the bots will not get scenario items.	gamedll release commandline_enforced
bot_difficulty 1	Defines the skill of bots joining the game. Values are: 0=easy, 1=normal, 2=hard, 3=expert.	gamedll release commandline_enforced
bot_dont_shoot false	If nonzero, bots will not fire weapons (for debugging).	gamedll cheat release
bot_eco_limit 2000.000000	If nonzero, bots will not buy if their money falls below this amount.	gamedll release
bot_flipout false	If nonzero, bots use no CPU for AI. Instead, they run around randomly.	gamedll release
bot_force_duck false		developmentonly gamedll defensive
bot_freeze false		gamedll cheat
bot_ignore_enemies false	If nonzero, bots will ignore enemies (for debugging).	gamedll cheat
bot_ignore_players false	Bots will not see non-bot players.	gamedll cheat
bot_join_after_player true	If nonzero, bots wait until a player joins before entering the game.	gamedll release
bot_join_delay 0	Prevents bots from joining the server for this many seconds after a map change.	developmentonly gamedll defensive
bot_join_in_warmup true	Prevents bots from joining the server while warmup phase is active.	developmentonly gamedll defensive
bot_join_team any	Determines the team bots will join into. Allowed values: 'any', 'T', or 'CT'.	gamedll release
bot_loadout	bots are given these items at round start	gamedll cheat
bot_max_visible_smoke_length 200.000000	Bots will see players through smoke clouds up to this length.	gamedll replicated release
bot_max_vision_distance_override -1.000000	Max distance bots can see targets.
Min: -1.000000	gamedll replicated release commandline_enforced
bot_mimic 0	Bot uses usercmd of player by index.	gamedll clientdll replicated cheat
bot_mimic_spec_buttons true	+attack, +jump etc are used for spectator control instead of being passed on to spectated bot	clientdll cheat
bot_mimic_yaw_offset 180.000000		gamedll cheat
bot_prefix	This string is prefixed to the name of all bots that join the game. <difficulty> will be replaced with the bot's difficulty. <weaponclass> will be replaced with the bot's desired weapon class. <skill> will be replaced with a 0-100 representation of the bot's skill.	gamedll release
bot_quota 10	Determines the total number of bots in the game.	gamedll release commandline_enforced
bot_quota_mode normal	Determines the type of quota. Allowed values: 'normal', 'fill', and 'match'. If 'fill', the server will adjust bots to keep N players in the game, where N is bot_quota. If 'match', the server will maintain a 1:N ratio of humans to bots, where N is bot_quota.	gamedll release commandline_enforced
bot_randombuy false	should bots ignore their prefered weapons and just buy weapons at random?	gamedll cheat
bot_show_battlefront false	Show areas where rushing players will initially meet.	gamedll cheat
bot_show_nav false	For internal testing purposes.	gamedll cheat
bot_show_occupy_time false	Show when each nav area can first be reached by each team.	gamedll cheat
bot_stop 0	bot_stop <1|all> | <not_bomber> | <t> | <ct>	gamedll cheat
bot_traceview 0	For internal testing purposes.	gamedll cheat
bot_walk false	If nonzero, bots can only walk, not run.	gamedll release
bot_zombie false	If nonzero, bots will stay in idle mode and not attack.	gamedll cheat
break_damage_inherit_scale 1.000000		developmentonly gamedll clientdll replicated defensive
break_invulnerable_spawn_duration 0.500000		developmentonly gamedll clientdll replicated defensive
breakable_multiplayer true		developmentonly gamedll defensive
buddha false	Player takes damage but won't die	gamedll notify cheat
buddha_ignore_bots false	Bots always buddha 0	gamedll notify cheat
buddha_reset_hp 1	HP to set when damaged below zero in Buddha Mode	gamedll notify cheat
bug_submitter_override		archive
buildcubemaps_renderdoc_capture -1	Capture a specific cubemap with RenderDoc during buildcubemaps.	developmentonly clientdll
c_maxdistance 200.000000		clientdll archive
c_maxpitch 90.000000		clientdll archive
c_maxyaw 135.000000		clientdll archive
c_mindistance 30.000000		clientdll archive
c_minpitch 0.000000		clientdll archive
c_minyaw -135.000000		clientdll archive
c_orthoheight 100.000000		clientdll archive
c_orthowidth 100.000000		clientdll archive
c_thirdpersonshoulder false		clientdll archive
c_thirdpersonshoulderaimdist 120.000000		clientdll archive
c_thirdpersonshoulderdist 40.000000		clientdll archive
c_thirdpersonshoulderheight 5.000000		clientdll archive
c_thirdpersonshoulderoffset 20.000000		clientdll archive
cachedvalue_count_partybrowser 0		clientdll hidden archive
cachedvalue_count_teammates 0		clientdll hidden archive
cam_collision 1	When in thirdperson and cam_collision is set to 1, an attempt is made to keep the camera from passing though walls.	clientdll archive
cam_head_constraint_debug false	Show camera head constraint debug info	developmentonly gamedll clientdll replicated
cam_head_constraint_distance 12.000000	Distance to constrain first/thirdperson camera and head	developmentonly gamedll clientdll replicated defensive
cam_head_constraint_soft_transition 4.000000	Constraint soft transition distance	developmentonly gamedll clientdll replicated defensive
cam_idealdelta 4.000000	Controls the speed when matching offset to ideal angles in thirdperson view	clientdll archive
cam_idealdist 150.000000		clientdll archive
cam_ideallag 4.000000	Amount of lag used when matching offset to ideal angles in thirdperson view	clientdll archive
cam_idealpitch 0.000000		clientdll archive
cam_idealyaw 0.000000		clientdll archive
cam_showangles false	When in thirdperson, print viewangles/idealangles/cameraoffsets to the console.	clientdll cheat
cam_snapto false		clientdll archive
camera_datadriven_debug false		developmentonly clientdll cheat
camera_datadriven_disable_cache false		developmentonly gamedll cheat
camera_jolt_fix true	camera jolt fix	developmentonly gamedll clientdll replicated
cash_player_bomb_defused 300		gamedll clientdll notify replicated release commandline_enforced
cash_player_bomb_planted 300		gamedll clientdll notify replicated release commandline_enforced
cash_player_damage_hostage -30		gamedll clientdll notify replicated release commandline_enforced
cash_player_get_killed 0		gamedll clientdll notify replicated release commandline_enforced
cash_player_interact_with_hostage 150		gamedll clientdll notify replicated release commandline_enforced
cash_player_killed_enemy_default 300		gamedll clientdll notify replicated release commandline_enforced
cash_player_killed_enemy_factor 1.000000		gamedll clientdll notify replicated release commandline_enforced
cash_player_killed_hostage -1000		gamedll clientdll notify replicated release commandline_enforced
cash_player_killed_teammate -300		gamedll clientdll notify replicated release commandline_enforced
cash_player_rescued_hostage 1000		gamedll clientdll notify replicated release commandline_enforced
cash_player_respawn_amount 0		gamedll clientdll notify replicated release commandline_enforced
cash_team_bonus_shorthanded 0		gamedll clientdll notify replicated release commandline_enforced
cash_team_elimination_bomb_map 3250		gamedll clientdll notify replicated release commandline_enforced
cash_team_elimination_hostage_map_ct 2000		gamedll clientdll notify replicated release commandline_enforced
cash_team_elimination_hostage_map_t 1000		gamedll clientdll notify replicated release commandline_enforced
cash_team_hostage_alive 0		gamedll clientdll notify replicated release commandline_enforced
cash_team_hostage_interaction 500		gamedll clientdll notify replicated release commandline_enforced
cash_team_loser_bonus 1400		gamedll clientdll notify replicated release commandline_enforced
cash_team_loser_bonus_consecutive_rounds 500		gamedll clientdll notify replicated release commandline_enforced
cash_team_planted_bomb_but_defused 600		gamedll clientdll notify replicated release commandline_enforced
cash_team_rescued_hostage 0		gamedll clientdll notify replicated release commandline_enforced
cash_team_terrorist_win_bomb 3500		gamedll clientdll notify replicated release commandline_enforced
cash_team_win_by_defusing_bomb 3250		gamedll clientdll notify replicated release commandline_enforced
cash_team_win_by_hostage_rescue 3500		gamedll clientdll notify replicated release commandline_enforced
cash_team_win_by_time_running_out_bomb 3250		gamedll clientdll notify replicated release commandline_enforced
cash_team_win_by_time_running_out_hostage 3250		gamedll clientdll notify replicated release commandline_enforced
cash_team_winner_bonus_consecutive_rounds 0		gamedll clientdll notify replicated release
cc_captiontrace 1	Show missing closecaptions (0 = no, 1 = devconsole, 2 = show in hud)	developmentonly clientdll defensive
cc_delay_time 0.250000	Close caption delay before showing caption.	clientdll archive
cc_lang	Current close caption language (emtpy = use game UI language)	clientdll archive
cc_linger_time 1.000000	Close caption linger time.	clientdll archive
cc_log 0	Log caption names and contents (0 = off, 1 = found captions, 2 = unfound captions, 3 = all captions)	developmentonly clientdll defensive
cc_norepeat 5.000000	In multiplayer games, don't repeat captions more often than this many seconds.	developmentonly gamedll defensive
cc_showmissing false	Show missing closecaption entries.	developmentonly gamedll replicated defensive
cc_spectator_only false		clientdll archive
cc_subtitles false	If set, don't show sound effect captions, just voice overs (i.e., won't help hearing impaired players).	clientdll archive
cc_vr_caption_catchup_interval 0.300000	Duration it takes for attached caption to ideal point
Min: 0.010000	developmentonly clientdll defensive
cc_vr_caption_speed 1	0 = slow, 1 = medium (default), 2 = fast
Min: 0
Max: 2	clientdll archive
cc_vr_debug false	Debug visualization of VR closed caption placement	developmentonly clientdll defensive
cc_vr_depth_test false	Have closed caption Panorama panel perform depth testing against the scene	developmentonly clientdll defensive
cc_vr_epsilon 2.500000	Epsilon to trigger movement of VR subtitle panel in world space	developmentonly clientdll defensive
cc_vr_font_size 1	0 = small, 1 = med (default), 2 = large
Min: 0
Max: 2	clientdll archive
cc_vr_forward_offset 30.000000	Subtitle offset distance (forward, in front of player)	developmentonly clientdll defensive
cc_vr_vertical_offset -6.500000	Subtitle vertical offset distance (positive is up)	developmentonly clientdll defensive
cc_vr_width 1	0 = narrow, 1 = med (default), 2 = wide
Min: 0
Max: 2	clientdll archive
character_patches true		developmentonly clientdll
check_transmit_dump_ents false		developmentonly gamedll
chicken_stop false		gamedll cheat
cl_access_all_missions false		developmentonly clientdll
cl_aggregate_particles false		developmentonly defensive
cl_allow_animated_avatars true	Whether or not to allow animated avatars	clientdll archive release
cl_allow_multi_input_binds false		clientdll cheat release
cl_anglespeedkey 0.670000		developmentonly clientdll defensive
cl_animgraph_history_force_temporal_consistency true		developmentonly clientdll defensive
cl_async_client_shatter true	spawn client glass shards asynchronously during demos or when remotely connected.	developmentonly clientdll
cl_auto_cursor_scale true	Automatic cursor size scaling.	archive
cl_autobuy	The order in which autobuy will attempt to purchase items	clientdll release
cl_autohelp true	Auto-help	clientdll archive userinfo
cl_bone_cache_optimization true		developmentonly clientdll defensive
cl_borrow_music_from_player_slot -1		clientdll release
cl_boxmove 0	run in a square, # represents how many usercommands to run before turning.	developmentonly clientdll
cl_boxmove_speed 1.000000	how fast to run (1 to use player max run speed).	developmentonly clientdll
cl_buymenu_ct_nextround_high 5000		clientdll archive per_user release
cl_buymenu_ct_nextround_low 1400		clientdll archive per_user release
cl_buymenu_t_nextround_high 5000		clientdll archive per_user release
cl_buymenu_t_nextround_low 1400		clientdll archive per_user release
cl_buywheel_donate_key 0	Set the key to use for donation in the buy menu. 0: Left Control; 1: Left Alt; 2: Left Shift.	clientdll archive per_user release
cl_buywheel_nonumberpurchasing false	Set non-zero to prevent buy wheel from purchasing via number keys	clientdll archive per_user release
cl_cache_sendtable true	Cache sendtables	developmentonly defensive
cl_cameraoverride_fade_in_amount 0.000000		developmentonly clientdll defensive
cl_cameraoverride_shadow_depth_bias 0.006000		developmentonly clientdll defensive
cl_cameraoverride_shadow_end 0.800000		developmentonly clientdll defensive
cl_change_callback_limit 0.200000	change callback msec warning limit	clientdll release
cl_chat_active 0		developmentonly clientdll defensive
cl_clanid 0	Current clan ID for name decoration	clientdll hidden archive userinfo
cl_clock_buffer_ticks 0.000000	Clock sync will try to maintain an additional margin of N ticks. This is intended to smooth over packet loss, and is a replacement for cl_interp_ratio / cl_interp. This value is simply added to cl_clock_recvmargin_desired	developmentonly
cl_clock_correction true	Enable/disable clock correction on the client.	cheat
cl_clock_recvmargin_adjust_limit_slowdown 93.000000	Clock sync will not slow down time slower than N%
Min: 66.000000
Max: 100.000000	developmentonly
cl_clock_recvmargin_adjust_limit_speedup 106.000000	Clock sync will not speed up time faster than N%
Min: 100.000000
Max: 150.000000	developmentonly
cl_clock_recvmargin_desired 5.000000	Clock sync will try to maintain N ms margin between tick arrival and polling network. The effective value is the sum of this and the time implied by cl_clock_buffer_ticks	developmentonly
cl_clock_recvmargin_minsamples_slowdown 3	Clock sync will not slow down unless we have N indicating samples	developmentonly
cl_clock_recvmargin_minsamples_speedup 0.500000	Clock sync will not speed up unless we have N seconds of indicating samples	developmentonly
cl_clock_recvmargin_spew_interval 0		release
cl_clock_recvmargin_timeconstant_slowdown 0.300000	Clock sync will remove 63.2% of the error in N seconds	developmentonly
cl_clock_recvmargin_timeconstant_speedup 0.600000	Clock sync will remove 63.2% of the error in N seconds	developmentonly
cl_clock_recvmargin_window 4.000000	Clock sync will use past N seconds	developmentonly
cl_clockdbg false		developmentonly defensive
cl_clockdrift_max_ticks 3	Maximum number of ticks the clock is allowed to drift before the client snaps its clock to the server's.
Min: 0	cheat
cl_clutch_mode false	Silence voice and other distracting sounds until the end of round or next death.	clientdll release
cl_color 3	Preferred teammate color
Min: 0
Max: 4	clientdll archive userinfo
cl_connectionretrytime_p2p 20.000000	Number of seconds over which to spread retry attempts for P2P.	release
cl_cq_min_queue 0	Used by the client to inform the server of their desired queue length. Derived from cl_tickpacket_recvmargin_desired and cl_tickpacket_desired_queuelength	userinfo
cl_crosshair_drawoutline true	Draws a black outline around the crosshair for better visibility	clientdll archive per_user
cl_crosshair_dynamic_maxdist_splitratio 1.000000	If using cl_crosshairstyle 2, this is the ratio used to determine how long the inner and outer xhair pips will be. [inner = cl_crosshairsize*(1-cl_crosshair_dynamic_maxdist_splitratio), outer = cl_crosshairsize*cl_crosshair_dynamic_maxdist_splitratio] [0 - 1]
Min: 0.000000
Max: 1.000000	clientdll archive per_user
cl_crosshair_dynamic_splitalpha_innermod 0.000000	If using cl_crosshairstyle 2, this is the alpha modification that will be used for the INNER crosshair pips once they've split. [0 - 1]
Min: 0.000000
Max: 1.000000	clientdll archive per_user
cl_crosshair_dynamic_splitalpha_outermod 1.000000	If using cl_crosshairstyle 2, this is the alpha modification that will be used for the OUTER crosshair pips once they've split. [0.3 - 1]
Min: 0.300000
Max: 1.000000	clientdll archive per_user
cl_crosshair_dynamic_splitdist 3	If using cl_crosshairstyle 2, this is the distance that the crosshair pips will split into 2. (default is 7)	clientdll archive per_user
cl_crosshair_friendly_warning 1	0: off, 1: on
Min: 0
Max: 1	clientdll archive release
cl_crosshair_outlinethickness 1.000000	Set how thick you want your crosshair outline to draw (0-3)
Min: 0.000000
Max: 3.000000	clientdll archive per_user
cl_crosshair_recoil true		clientdll archive per_user
cl_crosshair_sniper_width 1	If >1 sniper scope cross lines gain extra width (1 for single-pixel hairline)	clientdll archive per_user
cl_crosshair_t false	T style crosshair	clientdll archive per_user
cl_crosshairalpha 200	
Min: 0
Max: 255	clientdll archive per_user
cl_crosshaircolor 5	Set crosshair color as defined in game_options.consoles.txt	clientdll archive per_user
cl_crosshaircolor_b 0	
Min: 0
Max: 255	clientdll archive per_user
cl_crosshaircolor_g 255	
Min: 0
Max: 255	clientdll archive per_user
cl_crosshaircolor_r 0	
Min: 0
Max: 255	clientdll archive per_user
cl_crosshairdot false		clientdll archive per_user
cl_crosshairgap -2.200000		clientdll archive per_user
cl_crosshairgap_useweaponvalue true	If set to 1, the gap will update dynamically based on which weapon is currently equipped	clientdll archive per_user
cl_crosshairsize 3.900000		clientdll archive per_user
cl_crosshairstyle 2	0 = DEFAULT (DISABLED), 1 = DEFAULT STATIC (DISABLED), 2 = DEFAULT (accurate recoil/spread feedback with a fixed inner part), 3 = ACCURATE DYNAMIC (DISABLED) (accurate recoil/spread feedback), 4 = DEFAULT STATIC, 5 = LEGACY (fake recoil - inaccurate feedback)	clientdll archive per_user
cl_crosshairthickness 0.600000		clientdll archive per_user
cl_crosshairusealpha true		clientdll archive per_user
cl_csgo_shoot_debugvis_rdp_text_l 10		developmentonly clientdll
cl_csgo_shoot_debugvis_rdp_text_x 45		developmentonly clientdll
cl_csgo_shoot_debugvis_show_los false	Show line of last shot.	developmentonly clientdll
cl_csgo_shoot_debugvis_show_rdp false		developmentonly clientdll
cl_csgo_shoot_trim_input_frames true		developmentonly clientdll
cl_cursor_scale 1.000000	Cursor size scaling factor.	archive
cl_dangerzone_approaching_sound_radius 700.000000		clientdll cheat release
cl_dangerzone_moving_sound_volume 0.500000		clientdll cheat release
cl_dangerzone_sound_volume 0.200000		clientdll cheat release
cl_death_anim_viewmodel_drop_rate 50.000000		developmentonly clientdll
